"Geneid","baseMean","log2FoldChange","lfcSE","pvalue","padj","Ce_ID","pathway","sample"
"Gpal_D383_g13451",534.485992684814,-1.0159917455929,0.464169648342304,0.000917126646863137,0.0117187047980009,"daf-21","cGMP","PRD_8h"
"Gpal_D383_g00040",87.7357843184811,-0.509173986368942,0.237537207177839,0.00955175886196433,0.0447115502631267,"gpa-3","cGMP","PRD_24h"
"Gpal_D383_g01982",20.5924265042343,-1.38373631841796,0.855319426112209,0.00457282818643961,0.0260575173854361,"gck-2","DA_biosynthesis","PRD_24h"
"Gpal_D383_g02051",44.8791207640827,-1.11761500842102,0.593005619436574,0.00289949838267393,0.0184128013237736,"scd-2","TGFbeta","PRD_24h"
"Gpal_D383_g02356",549.45129681394,0.242960902174114,0.095088957566323,0.00859483296128313,0.0416966719395718,"pptr-1","insulin/IGF-1","PRD_24h"
"Gpal_D383_g02823",217.278240853019,-0.60277419449463,0.172162550687638,9.46959800935412e-05,0.00131125919910191,"ugt-65.2","DA_biosynthesis","PRD_24h"
"Gpal_D383_g03898",4.31527774270295,-1.61887504767398,1.34180431922709,0.00301027554116826,0.0189172259941392,"daf-38","cGMP","PRD_24h"
"Gpal_D383_g04618",64.3234138037586,-1.91455644901494,0.405321949834354,2.9143704395003e-07,1.04742691900542e-05,"daf-11.1","cGMP","PRD_24h"
"Gpal_D383_g04714",28.9486601783291,-2.7148314104302,1.13734203868608,0.000124778642772588,0.00162686936962738,"ftt-2/par-5.2","insulin/IGF-1","PRD_24h"
"Gpal_D383_g05151",7.93592925971929,-1.51846625099733,1.00878687206255,0.00472310463763319,0.0266448630821447,"lit-1","DA_biosynthesis","PRD_24h"
"Gpal_D383_g05879",485.870776974276,0.662429221389759,0.13895888103011,2.70428949163015e-07,9.82968256124354e-06,"din-1.4","DA_biosynthesis","PRD_24h"
"Gpal_D383_g06755",49.4213564168156,-1.23188798050296,0.660041702758848,0.00279349109127252,0.0179667161607581,"egl-4","TGFbeta","PRD_24h"
"Gpal_D383_g07051",189.695805140185,0.50916033520425,0.173045249203106,0.00108914539246029,0.00887218946184118,"age-1","insulin/IGF-1","PRD_24h"
"Gpal_D383_g07807",78.8366581095881,-0.782022933282796,0.381224501619647,0.00334318137237375,0.0204729856089971,"akt-1/2","insulin/IGF-1","PRD_24h"
"Gpal_D383_g09104",64.3251636307938,0.632354450125354,0.260536065598484,0.00238968107526054,0.0160809113591866,"daf-37.10","cGMP","PRD_24h"
"Gpal_D383_g09814",105.298337612708,-0.508620326246948,0.205855935925726,0.00425499972832728,0.0245673750860581,"ugt-65.17","DA_biosynthesis","PRD_24h"
"Gpal_D383_g10198",8.33141341744992,-1.57929722761351,1.00921075497667,0.00390319784676402,0.0230634769319874,"acs-19.1","insulin/IGF-1","PRD_24h"
"Gpal_D383_g13345",217.470847276681,-1.38717821537238,0.242837889806027,4.76439723457524e-10,3.54412060953365e-08,"din-1.2","DA_biosynthesis","PRD_24h"
"Gpal_D383_g13451",534.485992684814,-1.23860204740943,0.452534811555144,0.000194085730525038,0.00231936073489199,"daf-21","cGMP","PRD_24h"
"Gpal_D383_g16254",9.42909147926411,-1.76457974038799,0.924980189873347,0.00165459937127279,0.0120488823279771,"daf-4","TGFbeta","PRD_24h"
"Gpal_D383_g16940",74.0560861027555,-1.21482519985597,0.333478331740745,6.52632405019292e-06,0.000142010443504878,"daf-7.1","TGFbeta","PRD_24h"
"Gpal_D383_g00270",26.1478924175119,-1.87569822027548,0.978575223104522,0.00134331552775671,0.0109299779149729,"daf-16","insulin/IGF-1","PRD_48h"
"Gpal_D383_g02356",549.45129681394,0.314390679616206,0.123130312797923,0.00869365232277989,0.0425528371787794,"pptr-1","insulin/IGF-1","PRD_48h"
"Gpal_D383_g03898",4.31527774270295,-1.27287348236883,1.22009917234973,0.00685507295215919,0.0359672889077367,"daf-38","cGMP","PRD_48h"
"Gpal_D383_g04618",64.3234138037586,-1.861261748082,0.518342703547261,1.22666270676907e-05,0.00025362231672376,"daf-11.1","cGMP","PRD_48h"
"Gpal_D383_g05151",7.93592925971929,-1.32344287776342,1.06513940608157,0.00994198567148446,0.0470154685331401,"lit-1","DA_biosynthesis","PRD_48h"
"Gpal_D383_g05879",485.870776974276,0.438979855572524,0.164406734265408,0.00499834516090346,0.028906481831241,"din-1.4","DA_biosynthesis","PRD_48h"
"Gpal_D383_g06204",45.3490381247659,-0.967394869144712,0.47583226183053,0.00507685172035755,0.0292445965382258,"din-1.5","DA_biosynthesis","PRD_48h"
"Gpal_D383_g07362",721.525533786594,0.369075553209006,0.124157602808691,0.00223437836767573,0.0161231318706545,"pdp-1","TGFbeta","PRD_48h"
"Gpal_D383_g07507",3268.97243332404,0.424632909593687,0.1527864777462,0.00371277537532252,0.0233006887033408,"gpa-2","cGMP","PRD_48h"
"Gpal_D383_g07807",78.8366581095881,-1.25280152671036,0.467514080296963,0.000402981969994108,0.00428801245495263,"akt-1/2","insulin/IGF-1","PRD_48h"
"Gpal_D383_g10336",18.084206172246,-2.07943846292876,1.20234345107808,0.000779775101759596,0.00719558670394351,"din-1.1","DA_biosynthesis","PRD_48h"
"Gpal_D383_g11649",67.2397297598309,-1.06401974127659,0.351492959661652,0.000196253546019108,0.0024279673671435,"lev-9","DA_biosynthesis","PRD_48h"
"Gpal_D383_g11786",21.8086147770845,-2.33596986339676,0.718860057112398,3.41070793246874e-05,0.000603268965555408,"tax-4.1","cGMP","PRD_48h"
"Gpal_D383_g13345",217.470847276681,-0.613749549946607,0.249199716653753,0.00558074202097998,0.0312549163525014,"din-1.2","DA_biosynthesis","PRD_48h"
"Gpal_D383_g13451",534.485992684814,-1.36051626545478,0.469017858867382,0.000164198720562228,0.00211519717412736,"daf-21","cGMP","PRD_48h"
"Gpal_D383_g16826",227.365658237403,0.550990820626096,0.202959903760224,0.00332617407642289,0.0216237131630191,"daf-12","DA_biosynthesis","PRD_48h"
"Gpal_D383_g16940",74.0560861027555,-0.924425947872191,0.365997105522542,0.00152580870654811,0.012025869144038,"daf-7.1","TGFbeta","PRD_48h"
